YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,PDO_Annual_Mean
1991,-2.02,-1.19,-0.74,-1.01,-0.51,-1.47,-0.1,0.36,0.65,0.49,0.42,0.09,-0.285763889
1992,0.05,0.31,0.67,0.75,1.54,1.26,1.9,1.44,0.83,0.93,0.93,0.53,1.001527778
1993,0.05,0.19,0.76,1.21,2.13,2.34,2.35,2.69,1.56,1.41,1.24,1.07,1.530555556
1994,1.21,0.59,0.8,1.05,1.23,0.46,0.06,-0.79,-1.36,-1.32,-1.96,-1.79,-0.265138889
1995,-0.49,0.46,0.75,0.83,1.46,1.27,1.71,0.21,1.16,0.47,-0.28,0.16,0.736875
1996,0.59,0.75,1.01,1.46,2.18,1.1,0.77,-0.14,0.24,-0.33,0.09,-0.03,0.645069444
1997,0.23,0.28,0.65,1.05,1.83,2.76,2.35,2.79,2.19,1.61,1.12,0.67,1.563402778
1998,0.83,1.56,2.01,1.27,0.7,0.4,-0.04,-0.22,-1.21,-1.39,-0.52,-0.44,0.197152778
1999,-0.32,-0.66,-0.33,-0.41,-0.68,-1.3,-0.66,-0.96,-1.53,-2.23,-2.05,-1.63,-1.125277778
2000,-2,-0.83,0.29,0.35,-0.05,-0.44,-0.66,-1.19,-1.24,-1.3,-0.53,0.52,-0.4725
2001,0.6,0.29,0.45,-0.31,-0.3,-0.47,-1.31,-0.77,-1.37,-1.37,-1.26,-0.93,-0.659375
2002,0.27,-0.64,-0.43,-0.32,-0.63,-0.35,-0.31,0.6,0.43,0.42,1.51,2.1,0.216736111
2003,2.09,1.75,1.51,1.18,0.89,0.68,0.96,0.88,0.01,0.83,0.52,0.33,0.875763889
2004,0.43,0.48,0.61,0.57,0.88,0.04,0.44,0.85,0.75,-0.11,-0.63,-0.17,0.337916667
2005,0.44,0.81,1.36,1.03,1.86,1.17,0.66,0.25,-0.46,-1.32,-1.5,0.2,0.369583333
2006,1.03,0.66,0.05,0.4,0.48,1.04,0.35,-0.65,-0.94,-0.05,-0.22,0.14,0.120902778
2007,0.01,0.04,-0.36,0.16,-0.1,0.09,0.78,0.5,-0.36,-1.45,-1.08,-0.58,-0.212986111
2008,-1,-0.77,-0.71,-1.52,-1.37,-1.34,-1.67,-1.7,-1.55,-1.76,-1.25,-0.87,-1.316875
2009,-1.4,-1.55,-1.59,-1.65,-0.88,-0.31,-0.53,0.09,0.52,0.27,-0.4,0.08,-0.546875
2010,0.83,0.82,0.44,0.78,0.62,-0.22,-1.05,-1.27,-1.61,-1.06,-0.82,-1.21,-0.407708333
2011,-0.92,-0.83,-0.69,-0.42,-0.37,-0.69,-1.86,-1.74,-1.79,-1.34,-2.33,-1.79,-1.256736111
2012,-1.38,-0.85,-1.05,-0.27,-1.26,-0.87,-1.52,-1.93,-2.21,-0.79,-0.59,-0.48,-1.076666667
2013,-0.13,-0.43,-0.63,-0.16,0.08,-0.78,-1.25,-1.04,-0.48,-0.87,-0.11,-0.41,-0.549791667
2014,0.3,0.38,0.97,1.13,1.8,0.82,0.7,0.67,1.08,1.49,1.72,2.51,1.200069444
2015,2.45,2.3,2,1.44,1.2,1.54,1.84,1.56,1.94,1.47,0.86,1.01,1.566180556
2016,1.53,1.75,2.4,2.62,2.35,2.03,1.25,0.52,0.45,0.56,1.88,1.17,1.543541667
2017,0.77,0.7,0.74,1.12,0.88,,,,,,,,0.8564
