Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count,Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,08/04,Eagle Sonar (Yukon/Canadian Border),Chinook,880,880,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,08/05,Eagle Sonar (Yukon/Canadian Border),Chinook,798,798,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,08/06,Eagle Sonar (Yukon/Canadian Border),Chinook,540,540,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,08/07,Eagle Sonar (Yukon/Canadian Border),Chinook,490,490,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,08/08,Eagle Sonar (Yukon/Canadian Border),Chinook,451,451,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,08/09,Eagle Sonar (Yukon/Canadian Border),Chinook,390,390,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,08/10,Eagle Sonar (Yukon/Canadian Border),Chinook,251,251,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,08/11,Eagle Sonar (Yukon/Canadian Border),Chinook,264,264,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,08/12,Eagle Sonar (Yukon/Canadian Border),Chinook,287,287,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,08/13,Eagle Sonar (Yukon/Canadian Border),Chinook,220,220,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,08/14,Eagle Sonar (Yukon/Canadian Border),Chinook,210,210,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,08/15,Eagle Sonar (Yukon/Canadian Border),Chinook,139,139,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,08/16,Eagle Sonar (Yukon/Canadian Border),Chinook,237,237,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,08/17,Eagle Sonar (Yukon/Canadian Border),Chinook,207,207,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,08/18,Eagle Sonar (Yukon/Canadian Border),Chinook,158,158,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,08/19,Eagle Sonar (Yukon/Canadian Border),Chinook,100,100,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,08/20,Eagle Sonar (Yukon/Canadian Border),Chinook,121,121,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,08/21,Eagle Sonar (Yukon/Canadian Border),Chinook,151,151,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,08/22,Eagle Sonar (Yukon/Canadian Border),Chinook,140,140,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,07/06,Eagle Sonar (Yukon/Canadian Border),Chinook,71,71,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,07/07,Eagle Sonar (Yukon/Canadian Border),Chinook,208,208,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,07/08,Eagle Sonar (Yukon/Canadian Border),Chinook,307,307,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,07/09,Eagle Sonar (Yukon/Canadian Border),Chinook,293,293,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,07/10,Eagle Sonar (Yukon/Canadian Border),Chinook,326,326,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,07/11,Eagle Sonar (Yukon/Canadian Border),Chinook,440,440,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,07/12,Eagle Sonar (Yukon/Canadian Border),Chinook,452,452,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,07/13,Eagle Sonar (Yukon/Canadian Border),Chinook,357,357,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,07/14,Eagle Sonar (Yukon/Canadian Border),Chinook,315,315,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,07/15,Eagle Sonar (Yukon/Canadian Border),Chinook,730,730,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,07/16,Eagle Sonar (Yukon/Canadian Border),Chinook,991,991,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,07/17,Eagle Sonar (Yukon/Canadian Border),Chinook,977,977,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,07/18,Eagle Sonar (Yukon/Canadian Border),Chinook,1341,1341,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,07/19,Eagle Sonar (Yukon/Canadian Border),Chinook,908,908,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,07/20,Eagle Sonar (Yukon/Canadian Border),Chinook,1286,1286,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,07/21,Eagle Sonar (Yukon/Canadian Border),Chinook,1009,1009,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,07/22,Eagle Sonar (Yukon/Canadian Border),Chinook,1107,1107,Single Run
