name,year,doy,mean_swe_kgm2,min_swe_kgm2,max_swe_kgm2,sum_swe_kgm2,count,nodata_count
Atchuelinguk,2008,92,133.82401122012382,85.38999938964844,294.1199951171875,592171.2496490479,4425,0.0
Teslin,2008,92,214.97655031938777,72.04000091552734,832.9500122070312,7710563.930305481,35867,0.0
Andreafsky,2008,92,117.8356677488908,73.77999877929688,221.5500030517578,672370.3201751709,5706,0.0
Holitna,2008,92,144.37053021598513,82.16999816894531,364.2799987792969,2415174.5999832153,16729,0.0
Goodnews,2009,92,134.07991977177252,66.44999694824219,344.57000732421875,100425.85990905762,749,0.0
Henshaw,2009,92,120.61377945513368,110.04000091552734,133.41000366210938,210953.5002670288,1749,0.0
SFKoyukuk,2009,92,129.240156806667,110.54000091552734,167.86000061035156,873534.2198562622,6759,0.0
Sheenjek,2009,92,70.14927181109576,27.270000457763672,144.39999389648438,996119.6597175598,14200,0.0
Teedriinjik,2009,92,89.7974983084102,26.350000381469727,167.67999267578125,2657287.5699424744,29592,0.0
Tozitna,2009,92,86.39471273376572,47.33000183105469,187.4499969482422,396897.3102989197,4594,0.0
Barton,2009,92,119.0724642734473,109.05999755859375,135.6300048828125,41556.290031433105,349,0.0
Gisasa,2009,92,371.9005334494377,134.5800018310547,597.47998046875,522520.24949645996,1405,0.0
SFNulato,2009,92,351.4936820050549,155.50999450683594,608.27001953125,313180.8706665039,891,0.0
Rodo,2009,92,279.0480525677021,166.17999267578125,448.32000732421875,116083.98986816406,416,0.0
Chatanika,2009,92,96.3128751162893,59.810001373291016,181.92999267578125,557747.8597984314,5791,0.0
Nulato,2009,92,363.88335405579363,138.32000732421875,680.989990234375,888603.150604248,2442,0.0
Blind,2009,92,121.45919608321844,78.63999938964844,174.64999389648438,61944.190002441406,510,0.0
Goodpaster,2009,92,147.88593423764505,61.970001220703125,278.4100036621094,593614.1400299072,4014,0.0
Kogrukluk,2009,92,188.18651185499394,164.41000366210938,231.0399932861328,388981.52000427246,2067,0.0
Tuluksak,2009,92,157.31536400086304,123.83999633789062,227.8300018310547,347824.2698059082,2211,0.0
Oskawalik,2009,92,216.8091217395356,183.27999877929688,265.6000061035156,298762.9697570801,1378,0.0
Anvik,2009,92,279.85024290787965,166.9600067138672,567.0399780273438,1347478.9196014404,4815,0.0
Tatchun,2009,92,86.93875531903285,70.55000305175781,121.66000366210938,104065.69011688232,1197,0.0
Wolf,2009,92,198.0289688590067,106.8499984741211,385.45001220703125,787363.1801834106,3976,0.0
Kisaralik,2009,92,159.24626173196265,110.36000061035156,274.57000732421875,431079.63050842285,2707,0.0
Klondike,2009,92,125.51623617885694,38.36000061035156,220.74000549316406,1078812.0499572754,8595,0.0
Unalakleet,2009,92,322.42014169876586,151.39999389648438,647.97998046875,1842308.689666748,5714,0.0
Salcha,2009,92,112.5058982211284,27.709999084472656,279.5899963378906,696411.5099887848,6190,0.0
McQuesten,2009,92,107.13833721580787,77.56999969482422,267.6600036621094,550905.3299636841,5142,0.0
Tatlawiksuk,2009,92,199.49799593668135,175.0399932861328,273.8599853515625,402187.9598083496,2016,0.0
Pitka,2009,92,185.1514008836663,157.99000549316406,266.80999755859375,360860.0803222656,1949,0.0
Chena,2009,92,89.38549551601729,39.279998779296875,199.9499969482422,555620.2401275635,6216,0.0
SouthMacmillan,2009,92,155.3153830526503,70.48999786376953,410.3800048828125,843362.5299758911,5430,0.0
Swift,2009,92,265.25089506504077,177.6699981689453,477.42999267578125,1668428.1299591064,6290,0.0
Kwethluk,2009,92,134.26515330184588,92.69999694824219,315.010009765625,472613.33962249756,3520,0.0
LittleSalmon,2009,92,108.68334492469477,68.77999877929688,206.57000732421875,407453.86012268066,3749,0.0
Nisling,2009,92,117.93729944023602,58.11000061035156,238.9199981689453,1061671.5695610046,9002,0.0
Takhini,2009,92,496.12572000756853,80.9800033569336,2242.64990234375,4090556.5614624023,8245,0.0
Takotna,2009,92,203.91818544103205,164.89999389648438,313.760009765625,1227179.6399841309,6018,0.0
Nisutlin,2009,92,164.03102406233359,107.91000366210938,241.82000732421875,560658.0402450562,3418,0.0
EFAndreafsky,2009,92,267.7336736353067,146.66000366210938,474.8500061035156,545105.7595214844,2036,0.0
BigSalmon,2009,92,137.7903461205332,71.73999786376953,268.989990234375,963430.1000747681,6992,0.0
